vending_transaction_id,vending_machine_id,product_name,purchase_time,amount
1,3,"Clorox (Powder)","2023-07-01 09:20:00",3.25
2,3,"Oxi Clean (Powder)","2023-07-01 11:08:00",3.75
3,3,"Liquid Gain","2023-07-01 13:44:00",4.25
4,3,"Ariel (Laundry Detergent Powder)","2023-07-01 14:46:00",4.00
5,2,"Suavitel (Powder)","2023-07-01 14:57:00",3.50
6,2,"Liquid Tide","2023-07-01 17:50:00",4.50
7,1,"Oxi Clean (Powder)","2023-07-01 18:35:00",3.75
8,1,"Laundry Bag Small","2023-07-02 07:57:00",1.50
9,1,"Liquid Gain","2023-07-02 08:49:00",4.25
10,3,"Laundry Bag Small","2023-07-02 09:57:00",1.50
11,1,"Laundry Bag Large","2023-07-02 11:17:00",2.50
12,1,"Suavitel (Dryer Sheets)","2023-07-02 14:26:00",2.25
13,2,"Gain (Powder)","2023-07-02 17:12:00",3.50
14,3,"Suavitel (Powder)","2023-07-02 17:27:00",3.50
15,3,"Ariel (Laundry Detergent Powder)","2023-07-03 08:39:00",4.00
16,1,"Foca (Laundry Detergent Powder)","2023-07-03 09:21:00",3.75
17,2,"Suavitel (Dryer Sheets)","2023-07-03 11:17:00",2.25
18,3,"Ariel (Laundry Detergent Powder)","2023-07-03 12:03:00",4.00
19,3,"Tide (Powder)","2023-07-03 12:52:00",4.00
20,3,"Laundry Bag Small","2023-07-03 17:23:00",1.50
21,3,"Liquid Tide","2023-07-06 07:22:00",4.50
22,1,"Liquid Gain","2023-07-06 07:59:00",4.25
23,1,"Clorox (Powder)","2023-07-06 11:14:00",3.25
24,1,"Laundry Bag Small","2023-07-06 16:14:00",1.50
25,2,"Laundry Bag Large","2023-07-06 18:37:00",2.50
26,1,"Suavitel (Dryer Sheets)","2023-07-07 07:57:00",2.25
27,2,"Laundry Bag Small","2023-07-07 08:55:00",1.50
28,3,"Suavitel (Dryer Sheets)","2023-07-07 10:12:00",2.25
29,1,"Suavitel (Powder)","2023-07-07 10:34:00",3.50
30,1,"Foca (Laundry Detergent Powder)","2023-07-07 11:35:00",3.75
31,3,"Gain (Powder)","2023-07-07 14:08:00",3.50
32,3,"Tide (Powder)","2023-07-07 14:39:00",4.00
33,1,"Gain (Powder)","2023-07-07 17:55:00",3.50
34,2,"Liquid Gain","2023-07-07 18:00:00",4.25
35,2,"Liquid Gain","2023-07-07 18:08:00",4.25
36,2,"Oxi Clean (Powder)","2023-07-07 18:38:00",3.75
37,2,"Laundry Bag Small","2023-07-08 08:55:00",1.50
38,3,"Liquid Gain","2023-07-08 09:08:00",4.25
39,3,"Suavitel (Dryer Sheets)","2023-07-08 09:15:00",2.25
40,3,"Clorox (Powder)","2023-07-08 10:33:00",3.25
